frame,time_ms,segment,event,detail
4396,278495,2,visibility_drop,rendered 8753 -> 8714 (delta -39; mid_instances=14378)
4399,278554,2,visibility_drop,rendered 8716 -> 8677 (delta -39; mid_instances=14378)
4400,278579,2,visibility_drop,rendered 8677 -> 8669 (delta -8; mid_instances=14378)
4407,278723,2,visibility_drop,rendered 8733 -> 8720 (delta -13; mid_instances=14378)
4409,278766,2,visibility_drop,rendered 8718 -> 8712 (delta -6; mid_instances=14378)
4411,278810,2,visibility_drop,rendered 8712 -> 8690 (delta -22; mid_instances=14378)
4412,278836,2,visibility_drop,rendered 8690 -> 8684 (delta -6; mid_instances=14378)
4414,278878,2,visibility_drop,rendered 8681 -> 8651 (delta -30; mid_instances=14378)
4417,278938,2,visibility_drop,rendered 8650 -> 8382 (delta -268; mid_instances=14378)
4421,279022,2,visibility_drop,rendered 8375 -> 8356 (delta -19; mid_instances=14378)
4422,279047,2,visibility_drop,rendered 8356 -> 8341 (delta -15; mid_instances=14378)
4429,279198,2,visibility_drop,rendered 8329 -> 8322 (delta -7; mid_instances=14378)
4431,279242,2,visibility_drop,rendered 8323 -> 8315 (delta -8; mid_instances=14378)
4435,279327,2,visibility_drop,rendered 8322 -> 8313 (delta -9; mid_instances=14378)
4437,279370,2,visibility_drop,rendered 8313 -> 8281 (delta -32; mid_instances=14378)
4453,279705,2,visibility_drop,rendered 8288 -> 8279 (delta -9; mid_instances=14378)
4458,279862,2,visibility_drop,rendered 8670 -> 8650 (delta -20; mid_instances=14378)
4461,279922,2,visibility_drop,rendered 8654 -> 8638 (delta -16; mid_instances=14378)
4474,280235,2,visibility_drop,rendered 8635 -> 8626 (delta -9; mid_instances=14378)
4475,280253,2,visibility_drop,rendered 8626 -> 8617 (delta -9; mid_instances=14378)
4480,280364,2,visibility_drop,rendered 8616 -> 8591 (delta -25; mid_instances=14378)
4489,280545,2,visibility_drop,rendered 8589 -> 8574 (delta -15; mid_instances=14378)
4498,280731,2,visibility_drop,rendered 8566 -> 8557 (delta -9; mid_instances=14378)
4522,281264,2,visibility_drop,rendered 8693 -> 8667 (delta -26; mid_instances=14378)
4529,281406,2,visibility_drop,rendered 8668 -> 8659 (delta -9; mid_instances=14378)
4540,281677,2,visibility_drop,rendered 8660 -> 8644 (delta -16; mid_instances=14377)
4543,281735,2,visibility_drop,rendered 8643 -> 8636 (delta -7; mid_instances=14377)
4545,281776,2,visibility_drop,rendered 8635 -> 8620 (delta -15; mid_instances=14377)
4547,281817,2,visibility_drop,rendered 8619 -> 8602 (delta -17; mid_instances=14377)
4549,281858,2,visibility_drop,rendered 8603 -> 8583 (delta -20; mid_instances=14377)
4552,281923,2,visibility_drop,rendered 8583 -> 8563 (delta -20; mid_instances=14377)
4561,282106,2,visibility_drop,rendered 8554 -> 8545 (delta -9; mid_instances=14377)
4562,282130,2,visibility_drop,rendered 8545 -> 8528 (delta -17; mid_instances=14377)
4569,282270,2,visibility_drop,rendered 8524 -> 8512 (delta -12; mid_instances=14377)
4574,282375,2,visibility_drop,rendered 8510 -> 8502 (delta -8; mid_instances=14377)
4575,282393,2,visibility_drop,rendered 8502 -> 8490 (delta -12; mid_instances=14377)
4582,282538,2,visibility_drop,rendered 8495 -> 8487 (delta -8; mid_instances=14377)
4594,282780,2,visibility_drop,rendered 8474 -> 8378 (delta -96; mid_instances=14377)
4595,282802,2,visibility_drop,rendered 8378 -> 8362 (delta -16; mid_instances=14377)
4601,282923,2,visibility_drop,rendered 8361 -> 8327 (delta -34; mid_instances=14377)
4602,282987,2,visibility_drop,rendered 8327 -> 8287 (delta -40; mid_instances=14377)
4608,283110,2,visibility_drop,rendered 8340 -> 8333 (delta -7; mid_instances=14377)
4615,283248,2,visibility_drop,rendered 8325 -> 8317 (delta -8; mid_instances=14377)
4617,283289,2,visibility_drop,rendered 8317 -> 8293 (delta -24; mid_instances=14377)
4621,283375,2,visibility_drop,rendered 8290 -> 8282 (delta -8; mid_instances=14377)
4623,283416,2,visibility_drop,rendered 8282 -> 8263 (delta -19; mid_instances=14377)
4625,283457,2,visibility_drop,rendered 8258 -> 8242 (delta -16; mid_instances=14377)
4627,283507,2,visibility_drop,rendered 8238 -> 8230 (delta -8; mid_instances=14377)
4628,283530,2,visibility_drop,rendered 8230 -> 8222 (delta -8; mid_instances=14377)
4630,283572,2,visibility_drop,rendered 8222 -> 8214 (delta -8; mid_instances=14377)
4644,283857,2,visibility_drop,rendered 8359 -> 8347 (delta -12; mid_instances=14377)
4647,283912,2,visibility_drop,rendered 8347 -> 7891 (delta -456; mid_instances=14377)
4650,283976,2,visibility_drop,rendered 7890 -> 7878 (delta -12; mid_instances=14377)
4662,284209,2,visibility_drop,rendered 7865 -> 7858 (delta -7; mid_instances=14377)
4664,284248,2,visibility_drop,rendered 7854 -> 7842 (delta -12; mid_instances=14377)
4678,284573,2,visibility_drop,rendered 7890 -> 7870 (delta -20; mid_instances=14377)
4694,284896,2,visibility_drop,rendered 7857 -> 7849 (delta -8; mid_instances=14377)
4706,285140,2,visibility_drop,rendered 7845 -> 7820 (delta -25; mid_instances=14377)
4707,285155,2,visibility_drop,rendered 7820 -> 7814 (delta -6; mid_instances=14377)
4732,285666,2,visibility_drop,rendered 7810 -> 7785 (delta -25; mid_instances=14377)
4742,285917,2,visibility_drop,rendered 7942 -> 7936 (delta -6; mid_instances=14377)
4760,286274,2,visibility_drop,rendered 7927 -> 7921 (delta -6; mid_instances=14377)
4785,287907,2,cell_loading,(-2; -3)
4785,287913,2,cell_loading,(-3; -3)
4789,288258,2,visibility_drop,rendered 8221 -> 8210 (delta -11; mid_instances=14407)
4799,288613,2,cell_loading,(-1; -3)
4799,288650,2,cell_loading,(0; -3)
4803,288854,2,visibility_drop,rendered 8276 -> 8267 (delta -9; mid_instances=14411)
4817,289275,2,cell_loading,(-4; -3)
4819,289391,2,visibility_drop,rendered 8264 -> 8228 (delta -36; mid_instances=14435)
4826,289693,2,visibility_drop,rendered 8228 -> 7991 (delta -237; mid_instances=14484)
4838,290105,2,visibility_drop,rendered 7991 -> 7979 (delta -12; mid_instances=14497)
4850,290530,2,visibility_drop,rendered 7987 -> 7961 (delta -26; mid_instances=14518)
4887,291706,2,visibility_drop,rendered 7956 -> 7950 (delta -6; mid_instances=14575)
