frame,time_ms,fps,node_count,draw_calls,rendered_objects,primitives,queue_size,loaded_cells,async_requests,cam_x,cam_y,cam_z,memory_static,segment,mid_instances,mid_mesh_types,vram_mb,texture_mem_mb,promoted_objects
0,143.34,1.0,35,0,0,0,0,0,0,-175.5,100.0,994.7,1350457779,0,0,0,0.0,0.0,0
1,135.69,1.0,35,4,79,29880,0,0,0,-175.5,100.0,994.7,1361182036,0,0,0,245.3,199.0,0
2,125.96,1.0,37,4,79,29880,15,0,2,-175.5,100.0,994.7,1392257284,0,0,0,279.6,227.4,0
3,129.43,1.0,37,4,80,29882,501,0,2,-175.5,100.0,994.7,1425434784,0,25,14,315.0,259.1,0
4,97.54,1.0,84,13,90,33397,486,0,2,-175.5,100.0,994.7,1435315051,0,40,24,320.6,264.7,0
5,59.87,1.0,196,24,101,37123,482,0,2,-175.5,100.0,994.7,1442466807,0,44,27,325.8,269.8,0
6,67.85,1.0,253,34,112,38200,476,0,2,-175.5,100.0,994.7,1453779620,0,50,31,330.3,274.3,0
7,60.62,1.0,289,39,117,38500,461,0,2,-175.5,100.0,994.7,1465070180,0,65,36,335.2,279.2,0
8,46.62,6.0,361,49,127,39718,455,0,2,-175.5,100.0,994.7,1470218326,0,71,40,340.8,284.8,0
9,56.25,6.0,405,52,130,39970,446,0,2,-175.5,100.0,994.7,1477006020,0,74,42,345.1,289.2,0
10,44.89,6.0,469,52,130,39970,430,0,2,-175.5,100.0,994.7,1481764624,0,90,42,348.9,293.0,0
11,72.08,6.0,586,67,149,45168,428,0,2,-175.5,100.0,994.7,1490931844,0,92,44,353.1,297.2,0
12,52.68,6.0,625,79,161,45632,425,0,2,-175.5,100.0,994.7,1497588292,0,95,46,355.3,299.4,0
13,40.23,6.0,662,87,171,46042,420,0,2,-175.5,100.0,994.7,1502216521,0,99,49,358.4,302.4,0
14,71.92,6.0,706,98,183,46561,416,0,2,-175.5,100.0,994.7,1513118054,0,102,51,360.3,304.4,0
