frame,time_ms,segment,event,detail
4422,241317,2,visibility_drop,rendered 8800 -> 8764 (delta -36; mid_instances=14378)
4425,241374,2,visibility_drop,rendered 8763 -> 8724 (delta -39; mid_instances=14378)
4427,241415,2,visibility_drop,rendered 8723 -> 8716 (delta -7; mid_instances=14378)
4433,241542,2,visibility_drop,rendered 8781 -> 8772 (delta -9; mid_instances=14378)
4434,241566,2,visibility_drop,rendered 8772 -> 8764 (delta -8; mid_instances=14378)
4438,241648,2,visibility_drop,rendered 8759 -> 8731 (delta -28; mid_instances=14378)
4441,241709,2,visibility_drop,rendered 8728 -> 8698 (delta -30; mid_instances=14378)
4443,241750,2,visibility_drop,rendered 8697 -> 8429 (delta -268; mid_instances=14378)
4448,241853,2,visibility_drop,rendered 8418 -> 8388 (delta -30; mid_instances=14378)
4463,242149,2,visibility_drop,rendered 8369 -> 8360 (delta -9; mid_instances=14378)
4465,242192,2,visibility_drop,rendered 8360 -> 8322 (delta -38; mid_instances=14378)
4468,242256,2,visibility_drop,rendered 8319 -> 8313 (delta -6; mid_instances=14378)
4480,242523,2,visibility_drop,rendered 8320 -> 8311 (delta -9; mid_instances=14378)
4484,242706,2,visibility_drop,rendered 8700 -> 8676 (delta -24; mid_instances=14378)
4486,242747,2,visibility_drop,rendered 8681 -> 8664 (delta -17; mid_instances=14378)
4501,243058,2,visibility_drop,rendered 8655 -> 8646 (delta -9; mid_instances=14378)
4502,243082,2,visibility_drop,rendered 8646 -> 8637 (delta -9; mid_instances=14378)
4509,243218,2,visibility_drop,rendered 8636 -> 8611 (delta -25; mid_instances=14378)
4518,243396,2,visibility_drop,rendered 8604 -> 8594 (delta -10; mid_instances=14378)
4526,243549,2,visibility_drop,rendered 8586 -> 8577 (delta -9; mid_instances=14378)
4551,244090,2,visibility_drop,rendered 8713 -> 8691 (delta -22; mid_instances=14378)
4558,244232,2,visibility_drop,rendered 8688 -> 8679 (delta -9; mid_instances=14378)
4570,244516,2,visibility_drop,rendered 8680 -> 8663 (delta -17; mid_instances=14377)
4572,244557,2,visibility_drop,rendered 8663 -> 8656 (delta -7; mid_instances=14377)
4575,244614,2,visibility_drop,rendered 8652 -> 8639 (delta -13; mid_instances=14377)
4576,244637,2,visibility_drop,rendered 8639 -> 8632 (delta -7; mid_instances=14377)
4577,244654,2,visibility_drop,rendered 8632 -> 8621 (delta -11; mid_instances=14377)
4579,244693,2,visibility_drop,rendered 8617 -> 8601 (delta -16; mid_instances=14377)
