sec,frame,fps,proc_ms,phys_ms,draws,objs,prims_k,loaded,loading,reg_batches,reg_slots
24,7,0.0,18.8,0.2,242,983,780,0,0,0,0
29,65,11.6,50.2,0.8,3519,6026,925,8,4,178,1758
34,72,1.4,1078.8,106.9,5637,8163,1642,8,2,178,1758
39,79,1.4,309.5,45.5,6202,8728,1818,10,4,179,1768
44,125,9.2,162.8,0.2,6361,8896,2201,15,4,186,2387
49,189,12.8,123.4,2.7,6896,9427,2347,20,6,229,3122
54,256,13.4,98.1,0.2,6923,9516,2404,26,6,277,3997
59,309,10.6,187.4,0.2,6938,9531,2409,31,5,289,4730
64,358,9.8,187.5,0.2,6938,9530,2409,37,5,289,5087
69,413,11.0,158.5,0.2,6938,9532,2409,44,6,305,5802
74,464,10.2,131.4,0.3,6938,9528,2409,52,6,313,6424
79,525,12.2,111.6,0.3,6948,9554,2410,55,5,337,7088
84,576,10.2,122.9,0.2,6948,9555,2410,63,5,341,7779
89,634,11.6,182.0,0.2,6968,9638,2415,69,6,386,8335
94,682,9.6,122.4,0.2,6968,9638,2415,69,6,391,8464
99,727,9.0,176.3,0.2,6973,9639,2415,72,6,400,8699
104,765,7.6,217.2,0.2,6977,9762,2422,73,5,411,8953
109,806,8.2,133.6,0.2,6985,9778,2423,77,6,418,9399
114,857,10.2,103.8,1.0,6990,9813,2424,83,5,445,10102
119,903,9.2,132.4,0.2,6995,9816,2424,87,5,449,10423
124,950,9.4,135.5,0.2,6990,9863,2499,89,6,453,10650
129,992,8.4,136.5,0.2,6997,9968,2503,91,5,474,11060
134,1028,7.2,233.3,0.2,6997,9970,2507,95,6,476,11161
139,1065,7.4,163.5,0.2,6996,9969,2509,96,5,477,11515
144,1113,9.6,144.0,0.2,7008,10043,2513,102,5,499,12244
149,1151,7.6,149.9,0.2,7004,10043,2513,104,6,500,12414
154,1190,7.8,138.5,1.8,7019,10084,2514,107,6,508,12993
159,1237,9.4,147.5,0.2,7026,10093,2515,109,6,508,13419
164,1288,10.2,103.4,0.2,7026,10093,2515,113,6,522,13942
169,1359,14.2,86.8,0.3,7026,10095,2515,117,4,535,14386
174,1603,48.8,20.0,0.3,7026,10094,2540,117,4,535,14386
179,1927,64.8,19.6,0.2,7026,10094,2540,117,4,535,14386
184,2241,62.8,25.9,0.3,7026,10094,2540,117,4,535,14386
189,2552,62.2,21.1,0.4,7026,10094,2540,117,4,535,14386
194,2859,61.4,20.3,0.2,7026,10094,2540,117,4,535,14386
199,3173,62.8,23.3,0.2,7026,10094,2540,117,4,535,14386
204,3487,62.8,20.3,0.3,7026,10094,2540,117,4,535,14386
209,3735,49.6,29.4,0.5,7026,10094,2540,117,4,535,14386
214,4004,53.8,21.5,0.3,7026,10094,2540,117,4,535,14386
