frame,time_ms,fps,node_count,draw_calls,rendered_objects,primitives,queue_size,loaded_cells,async_requests,cam_x,cam_y,cam_z,memory_static,segment,mid_instances,mid_mesh_types,vram_mb,texture_mem_mb,promoted_objects,stream_total_ms,phase_unload_us,phase_async_us,phase_inst_us,phase_promo_us,phase_coll_us,phase_defer_us,phase_queue_us,phase_cellupd_us
3279,30.33,49.0,7200,7078,8740,3247942,0,117,1,-175.5,5.0,994.7,2514627558,0,14378,795,2333.2,2088.8,395,0.36,1,10,16,5,287,2,1,0
3280,19.11,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514635018,0,14378,795,2333.2,2088.8,395,8.41,1,26,20,8315,0,0,0,0
3281,24.66,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514635290,0,14378,795,2333.2,2088.8,395,0.45,1,12,19,10,354,4,2,0
3282,17.16,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514635682,0,14378,795,2333.2,2088.8,395,7.39,1,10,17,7256,7,63,2,0
3283,24.32,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514636026,0,14378,795,2333.2,2088.8,395,0.37,1,10,18,6,295,2,1,0
3284,17.27,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514636322,0,14378,795,2333.2,2088.8,395,8.04,1,10,17,7959,0,0,0,0
3285,24.09,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514636690,0,14378,795,2333.2,2088.8,395,0.35,1,10,16,5,285,2,1,0
3286,17.15,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514636986,0,14378,795,2333.2,2088.8,395,7.42,1,11,21,7285,5,60,2,0
3287,24.03,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514637282,0,14378,795,2333.2,2088.8,395,0.45,2,15,20,8,358,3,1,0
3288,17.76,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514637674,0,14378,795,2333.2,2088.8,395,8.18,2,10,20,8106,0,0,0,0
3289,26.40,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514637970,0,14378,795,2333.2,2088.8,395,0.58,2,15,24,8,470,4,2,0
3290,18.31,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514638266,0,14378,795,2333.2,2088.8,395,8.22,1,17,24,8122,0,0,0,0
3291,25.41,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514638634,0,14378,795,2333.2,2088.8,395,0.38,1,13,19,7,295,2,2,0
3292,18.37,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514639130,0,14378,795,2333.2,2088.8,395,7.72,1,10,17,7642,5,3,2,0
3293,24.94,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514641362,0,14378,795,2333.2,2088.8,395,0.52,2,15,23,8,419,3,2,0
3294,17.63,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514639722,0,14378,795,2333.2,2088.8,395,8.12,2,16,20,8031,0,0,0,0
3295,25.68,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514641954,0,14378,795,2333.2,2088.8,395,0.39,1,11,16,5,316,2,1,0
3296,17.50,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514640314,0,14378,795,2333.2,2088.8,395,7.90,2,16,24,7800,5,3,2,0
3297,25.15,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514640610,0,14378,795,2333.2,2088.8,395,0.43,2,17,25,10,314,2,1,0
3298,17.52,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514641122,0,14378,795,2333.2,2088.8,395,7.61,1,13,17,7466,7,61,2,0
3299,25.01,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514641418,0,14378,795,2333.2,2088.8,395,0.35,0,10,16,6,280,3,2,0
3300,20.42,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514642146,0,14378,795,2333.2,2088.8,395,7.27,1,9,16,7196,7,3,3,0
